formulaID,formulaName,createdBy,dateCreated,metricID
1,method4,Barnabe,9/10/2025,17
2,calculation1,Holt,2/28/2025,69
3,method4,Ricky,2/20/2025,73
4,calculation1,Hans,11/2/2025,53
5,equation3,Michelle,11/23/2025,13
6,algorithm5,Dimitri,11/24/2025,43
7,calculation1,Callida,5/4/2025,46
8,formula2,Eduard,10/29/2025,18
9,formula2,Raychel,9/27/2025,19
10,algorithm5,Miltie,6/10/2025,61
11,algorithm5,Alessandro,12/31/2024,43
12,equation3,Vin,2/12/2025,47
13,algorithm5,Cori,3/31/2025,8
14,calculation1,Kenyon,9/15/2025,48
15,algorithm5,Heath,4/29/2025,19
16,calculation1,Meghan,7/17/2025,24
17,equation3,Rudolfo,6/22/2025,49
18,calculation1,Ashlin,12/4/2025,46
19,algorithm5,Demetris,3/1/2025,31
20,equation3,Albrecht,2/28/2025,12
21,calculation1,Clarabelle,2/27/2025,61
22,calculation1,Gwenore,6/16/2025,24
23,equation3,Jen,10/28/2025,15
24,algorithm5,Moshe,10/22/2025,44
25,formula2,Guthry,5/30/2025,21
26,equation3,Osborn,4/5/2025,5
27,algorithm5,Juliane,2/14/2025,16
28,method4,Ogdan,7/30/2025,15
29,method4,Jon,11/14/2025,70
30,method4,Tilly,8/26/2025,59
31,formula2,Therine,11/21/2025,45
32,equation3,Maurits,1/2/2025,68
33,method4,Monica,10/3/2025,41
34,method4,Roanne,10/18/2025,26
35,calculation1,Hendrik,10/7/2025,64
36,algorithm5,Garret,10/26/2025,36
37,algorithm5,Vergil,12/6/2025,47
38,calculation1,Nixie,10/27/2025,16
39,algorithm5,Natasha,1/12/2025,73
40,algorithm5,Margarete,8/29/2025,61
